"Step","Neg Only Experiment - MLM - FINAL - total-loss","Neg Only Experiment - MLM - FINAL - total-loss__MIN","Neg Only Experiment - MLM - FINAL - total-loss__MAX"
"0","2.688263000731441","2.688263000731441","2.688263000731441"
"1","2.5698672183630675","2.5698672183630675","2.5698672183630675"
"2","2.539661248324816","2.539661248324816","2.539661248324816"
"3","2.529873213987534","2.529873213987534","2.529873213987534"
"4","2.5240033511313933","2.5240033511313933","2.5240033511313933"
"5","2.5202255613489504","2.5202255613489504","2.5202255613489504"
"6","2.5136645512090334","2.5136645512090334","2.5136645512090334"
"7","2.512095852982043","2.512095852982043","2.512095852982043"
"8","2.507941980467728","2.507941980467728","2.507941980467728"
"9","2.5078368099411876","2.5078368099411876","2.5078368099411876"
"10","2.50432660995311","2.50432660995311","2.50432660995311"
"11","2.508006154263267","2.508006154263267","2.508006154263267"
"12","2.5048916489367246","2.5048916489367246","2.5048916489367246"
"13","2.5021956108959165","2.5021956108959165","2.5021956108959165"
"14","2.5025901205198884","2.5025901205198884","2.5025901205198884"
"15","2.500155725897775","2.500155725897775","2.500155725897775"
"16","2.4973062733161915","2.4973062733161915","2.4973062733161915"
"17","2.4943655257418866","2.4943655257418866","2.4943655257418866"
"18","2.4927300012974944","2.4927300012974944","2.4927300012974944"
"19","2.4941364037600615","2.4941364037600615","2.4941364037600615"
"20","2.4918708493258777","2.4918708493258777","2.4918708493258777"
"21","2.489845509931761","2.489845509931761","2.489845509931761"
"22","2.4910549643273803","2.4910549643273803","2.4910549643273803"
"23","2.487870600367564","2.487870600367564","2.487870600367564"
"24","2.486309634061174","2.486309634061174","2.486309634061174"
"25","2.4874788850445873","2.4874788850445873","2.4874788850445873"
"26","2.4844387918964874","2.4844387918964874","2.4844387918964874"
"27","2.48511354234643","2.48511354234643","2.48511354234643"
"28","2.485045770661008","2.485045770661008","2.485045770661008"
"29","2.48326816960519","2.48326816960519","2.48326816960519"
"30","2.4821336182495575","2.4821336182495575","2.4821336182495575"
"31","2.480658993571492","2.480658993571492","2.480658993571492"
"32","2.480612056874209","2.480612056874209","2.480612056874209"
"33","2.4801858623280983","2.4801858623280983","2.4801858623280983"
"34","2.478095333880382","2.478095333880382","2.478095333880382"
"35","2.478619173004307","2.478619173004307","2.478619173004307"
"36","2.4765189212808174","2.4765189212808174","2.4765189212808174"
"37","2.4771829854446934","2.4771829854446934","2.4771829854446934"
"38","2.476382082019829","2.476382082019829","2.476382082019829"
"39","2.475523441694399","2.475523441694399","2.475523441694399"
"40","2.474149443701807","2.474149443701807","2.474149443701807"
"41","2.473020187629598","2.473020187629598","2.473020187629598"
"42","2.4728609579690217","2.4728609579690217","2.4728609579690217"
"43","2.471232789018576","2.471232789018576","2.471232789018576"
"44","2.469011843927949","2.469011843927949","2.469011843927949"
"45","2.4690277367599265","2.4690277367599265","2.4690277367599265"
"46","2.46832268389476","2.46832268389476","2.46832268389476"
"47","2.466175648029299","2.466175648029299","2.466175648029299"
"48","2.4654958051657836","2.4654958051657836","2.4654958051657836"
"49","2.4654331566656738","2.4654331566656738","2.4654331566656738"
"50","2.467300324366596","2.467300324366596","2.467300324366596"
"51","2.4656288735408998","2.4656288735408998","2.4656288735408998"
"52","2.46492850243457","2.46492850243457","2.46492850243457"
"53","2.4638422815362353","2.4638422815362353","2.4638422815362353"
"54","2.4625555916581607","2.4625555916581607","2.4625555916581607"
"55","2.460305557471598","2.460305557471598","2.460305557471598"
"56","2.459082580227097","2.459082580227097","2.459082580227097"
"57","2.459707081057195","2.459707081057195","2.459707081057195"
"58","2.460277490886347","2.460277490886347","2.460277490886347"
"59","2.4567510621580446","2.4567510621580446","2.4567510621580446"
"60","2.455025499419641","2.455025499419641","2.455025499419641"
"61","2.45709840269534","2.45709840269534","2.45709840269534"
"62","2.455851124544227","2.455851124544227","2.455851124544227"
"63","2.4548312582776597","2.4548312582776597","2.4548312582776597"
"64","2.453528292706256","2.453528292706256","2.453528292706256"
"65","2.4526769062063183","2.4526769062063183","2.4526769062063183"
"66","2.450072801192419","2.450072801192419","2.450072801192419"
"67","2.4497870035611946","2.4497870035611946","2.4497870035611946"
"68","2.449348950555097","2.449348950555097","2.449348950555097"
"69","2.448869983949092","2.448869983949092","2.448869983949092"
"70","2.447436584937956","2.447436584937956","2.447436584937956"
"71","2.4485945153956705","2.4485945153956705","2.4485945153956705"
"72","2.447177856942929","2.447177856942929","2.447177856942929"
"73","2.4462011756728","2.4462011756728","2.4462011756728"
"74","2.4444702108621406","2.4444702108621406","2.4444702108621406"
"75","2.4444448893861246","2.4444448893861246","2.4444448893861246"
"76","2.443405607689469","2.443405607689469","2.443405607689469"
"77","2.4411068800089004","2.4411068800089004","2.4411068800089004"
"78","2.4424174340503417","2.4424174340503417","2.4424174340503417"
"79","2.441094208821339","2.441094208821339","2.441094208821339"
"80","2.4406254100173057","2.4406254100173057","2.4406254100173057"
"81","2.438336113674986","2.438336113674986","2.438336113674986"
"82","2.437299126497669","2.437299126497669","2.437299126497669"
"83","2.4371738495723037","2.4371738495723037","2.4371738495723037"
"84","2.435684857759176","2.435684857759176","2.435684857759176"
"85","2.43639423120895","2.43639423120895","2.43639423120895"
"86","2.4360963276663092","2.4360963276663092","2.4360963276663092"
"87","2.4333479089024457","2.4333479089024457","2.4333479089024457"
"88","2.4315595491637407","2.4315595491637407","2.4315595491637407"
"89","2.431774581194871","2.431774581194871","2.431774581194871"
"90","2.430342889170364","2.430342889170364","2.430342889170364"
"91","2.429683114740554","2.429683114740554","2.429683114740554"
"92","2.4308236014793203","2.4308236014793203","2.4308236014793203"
"93","2.430487286473041","2.430487286473041","2.430487286473041"
"94","2.427688874617326","2.427688874617326","2.427688874617326"
"95","2.428812836952234","2.428812836952234","2.428812836952234"
"96","2.4268862024817413","2.4268862024817413","2.4268862024817413"
"97","2.423956741239564","2.423956741239564","2.423956741239564"
"98","2.4250588299845894","2.4250588299845894","2.4250588299845894"
"99","2.422330186930041","2.422330186930041","2.422330186930041"
"100","2.4213651650630106","2.4213651650630106","2.4213651650630106"
"101","2.420131173671162","2.420131173671162","2.420131173671162"
"102","2.4201160708356584","2.4201160708356584","2.4201160708356584"
"103","2.4205871573320508","2.4205871573320508","2.4205871573320508"
"104","2.417150694670046","2.417150694670046","2.417150694670046"
"105","2.4202087895289797","2.4202087895289797","2.4202087895289797"
"106","2.4190559654827646","2.4190559654827646","2.4190559654827646"
"107","2.4153404423836324","2.4153404423836324","2.4153404423836324"
"108","2.4158897965444806","2.4158897965444806","2.4158897965444806"
"109","2.4143298457463604","2.4143298457463604","2.4143298457463604"
"110","2.4124319560950553","2.4124319560950553","2.4124319560950553"
"111","2.41169293030191","2.41169293030191","2.41169293030191"
"112","2.411539924077706","2.411539924077706","2.411539924077706"
"113","2.4109594451476095","2.4109594451476095","2.4109594451476095"
"114","2.4118238292118126","2.4118238292118126","2.4118238292118126"
"115","2.410345170465459","2.410345170465459","2.410345170465459"
"116","2.4100402668678393","2.4100402668678393","2.4100402668678393"
"117","2.40894502163466","2.40894502163466","2.40894502163466"
"118","2.408674172379159","2.408674172379159","2.408674172379159"
"119","2.4047348837477784","2.4047348837477784","2.4047348837477784"
"120","2.4051496449979126","2.4051496449979126","2.4051496449979126"
"121","2.403873590041637","2.403873590041637","2.403873590041637"
"122","2.403724221962284","2.403724221962284","2.403724221962284"
"123","2.40368141136724","2.40368141136724","2.40368141136724"
"124","2.4015113625919207","2.4015113625919207","2.4015113625919207"
"125","2.401269576481893","2.401269576481893","2.401269576481893"
"126","2.401549277448976","2.401549277448976","2.401549277448976"
"127","2.398990324714811","2.398990324714811","2.398990324714811"
"128","2.3986983520083935","2.3986983520083935","2.3986983520083935"
"129","2.399281541364089","2.399281541364089","2.399281541364089"
"130","2.398311803962242","2.398311803962242","2.398311803962242"
"131","2.3982188552257453","2.3982188552257453","2.3982188552257453"
"132","2.397166427225351","2.397166427225351","2.397166427225351"
"133","2.394348132069092","2.394348132069092","2.394348132069092"
"134","2.394339739735798","2.394339739735798","2.394339739735798"
"135","2.3946091493273336","2.3946091493273336","2.3946091493273336"
"136","2.394359216990637","2.394359216990637","2.394359216990637"
"137","2.3936693178564594","2.3936693178564594","2.3936693178564594"
"138","2.3899837372361397","2.3899837372361397","2.3899837372361397"
"139","2.3918871088323215","2.3918871088323215","2.3918871088323215"
"140","2.391718686810014","2.391718686810014","2.391718686810014"
"141","2.3904105019291406","2.3904105019291406","2.3904105019291406"
"142","2.3881790615209537","2.3881790615209537","2.3881790615209537"
