"Step","Mixed Experiment - FINAL - total-loss","Mixed Experiment - FINAL - total-loss__MIN","Mixed Experiment - FINAL - total-loss__MAX"
"0","9.512809294209642","9.512809294209642","9.512809294209642"
"1","1.3318505270375034","1.3318505270375034","1.3318505270375034"
"2","1.193077459621985","1.193077459621985","1.193077459621985"
"3","1.1736348979396083","1.1736348979396083","1.1736348979396083"
"4","1.16498384118017","1.16498384118017","1.16498384118017"
"5","1.1607169626312235","1.1607169626312235","1.1607169626312235"
"6","1.1570467184376667","1.1570467184376667","1.1570467184376667"
"7","1.1557854671346939","1.1557854671346939","1.1557854671346939"
"8","1.1537252774525244","1.1537252774525244","1.1537252774525244"
"9","1.1509408308066806","1.1509408308066806","1.1509408308066806"
"10","1.1486891162692239","1.1486891162692239","1.1486891162692239"
"11","1.1459802756401694","1.1459802756401694","1.1459802756401694"
"12","1.144825137343447","1.144825137343447","1.144825137343447"
"13","1.1446454121873288","1.1446454121873288","1.1446454121873288"
"14","1.14292242312646","1.14292242312646","1.14292242312646"
"15","1.1412626561345691","1.1412626561345691","1.1412626561345691"
"16","1.140211287109276","1.140211287109276","1.140211287109276"
"17","1.1387961783430587","1.1387961783430587","1.1387961783430587"
