"Step","MLM / Mixed Experiment / IV - antonym-negation","MLM / Mixed Experiment / IV - antonym-negation__MIN","MLM / Mixed Experiment / IV - antonym-negation__MAX","MLM / Mixed Experiment / III - antonym-negation","MLM / Mixed Experiment / III - antonym-negation__MIN","MLM / Mixed Experiment / III - antonym-negation__MAX","MLM / Mixed Experiment / II - antonym-negation","MLM / Mixed Experiment / II - antonym-negation__MIN","MLM / Mixed Experiment / II - antonym-negation__MAX"
"0","0.51","0.51","0.51","0.51","0.51","0.51","0.51","0.51","0.51"
"1","0.55","0.55","0.55","0.562","0.562","0.562","0.548","0.548","0.548"
"2","0.514","0.514","0.514","0.546","0.546","0.546","0.572","0.572","0.572"
"3","0.572","0.572","0.572","0.56","0.56","0.56","0.54","0.54","0.54"
"4","0.522","0.522","0.522","0.504","0.504","0.504","0.528","0.528","0.528"
"5","0.53","0.53","0.53","0.506","0.506","0.506","0.534","0.534","0.534"
"6","0.506","0.506","0.506","0.522","0.522","0.522","0.504","0.504","0.504"
"7","0.522","0.522","0.522","0.534","0.534","0.534","0.542","0.542","0.542"
"8","0.522","0.522","0.522","0.52","0.52","0.52","0.53","0.53","0.53"
"9","0.51","0.51","0.51","0.522","0.522","0.522","0.518","0.518","0.518"
"10","0.514","0.514","0.514","0.53","0.53","0.53","0.528","0.528","0.528"
"11","0.51","0.51","0.51","0.522","0.522","0.522","0.528","0.528","0.528"
